30 Rock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,66,80
Absolutely Fabulous,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,59,80
Barbie Life in the Dreamhouse,TV-G,Suitable for all ages.,35,2012,85,80
Beverly Hills Chihuahua 3: Viva La Fiesta!,G,General Audiences. Suitable for all ages.,35,2012,,82
Breakout Kings,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88,80
Care Bears: Welcome to Care-a-Lot,TV-Y,Suitable for all ages.,10,2012,,82
Delhi Safari,PG,"violence and menacing action-rude humor-suggestive content and thematic elements",60,2012,,82
Don't Trust the B---- in Apartment 23,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,,82
Ernest & Celestine,PG,some scary moments,60,2012,,82
Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,96,80
Leverage,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,86,80
Magic Mike,R,"pervasive sexual content-brief graphic nudity-language and some drug use",100,2012,77,80
Monster Math Squad,TV-G,Suitable for all ages.,35,2012,,82
Phineas and Ferb,TV-G,Suitable for all ages.,35,2012,89,80
Private Practice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88,80
Robocar Poli,TV-Y,Suitable for all ages.,10,2012,,82
Sammy 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,,82
Secret of the Wings,G,General Audiences. Suitable for all ages.,35,2012,65,80
Sid the Science Kid: The Movie,TV-Y,Suitable for all ages.,10,2012,,82
Tad: The Lost Explorer,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,,82
The Cleveland Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88,80
The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,97,80
Touch,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,68,80
Trouble with the Curve,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,80,2012,63,80
Unconditional,PG-13,some violent content and mature thematic elements,80,2012,,82
Weeds,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2012,85,80
Young Justice,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,71,80
