90210,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,62,80
Angry Birds,TV-G,Suitable for all ages.,35,2013,,82
Army Wives,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,61,80
Axel: The Biggest Little Hero,PG,"some scary images-perilous action sequences and mild rude humor",60,2013,,82
Beary Tales,TV-G,Suitable for all ages.,35,2013,,82
Breaking Bad,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,97,80
Bunks,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,,82
Burn Notice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,85,80
City of God: 10 Years Later,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,,82
Dexter,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,95,80
Gon,TV-G,Suitable for all ages.,35,2013,,82
Hatched,TV-Y7,Suitable for children ages 7 and older,41,2013,,82
Hunter X Hunter (2011),NR,This movie has not been rated.,124,2013,57,80
Jack and the Cuckoo-Clock Heart,PG,"scary images-suggestive material-some language and smoking",60,2013,,82
LEGO: Marvel Super Heroes: Maximum Overload,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,,82
Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81,80
My Animal Friends,TV-Y,Suitable for all ages.,10,2013,,82
Nymphomaniac: Volume 1,NR,This movie has not been rated.,124,2013,,82
Pound Puppies,TV-Y,Suitable for all ages.,10,2013,,82
Raising Hope,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,73,80
Safe Haven,PG-13,"thematic material involving threatening behavior-and for violence and sexuality",80,2013,62,80
Skins,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,,82
Step Dogs,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,,82
Super Buddies,G,General Audiences. Suitable for all ages.,35,2013,,82
The Carrie Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,,82
The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92,80
The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,81,80
Thomas & Friends: King of the Railway,TV-G,Suitable for all ages.,35,2013,,82
Thunder and the House Of Magic,TV-G,Suitable for all ages.,35,2013,,82
Transformers Prime Beast Hunters: Predacons Rising,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,,82
Transformers Prime,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,,82
Underdogs,PG,Parental guidance suggested. May not be suitable for children.,60,2013,,82
Worms,PG,Parental guidance suggested. May not be suitable for children.,60,2013,,82
